lokasi,judul,harga_bersih,kamar_tidur,kamar_mandi,luas_tanah_m2,luas_bangunan,tanggal_clean,kecamatan
"Lowokwaru, Malang",Spesifikasi: LT : 408 m2 LB : 280 m2 Bangunan 2 Lantai + basement Kamar Tidur 5 + 1 Kamar Mandi 3 Musholla  Ruang Kerja Pribadi Service area + Area...,4000000000.0,5.0,3.0,408.0,280.0,2026-04-13,Lowokwaru
"Araya, Malang","(DN2675) Untuk Katalog Properti Lengkap, Bisa Diakses Langsung Melalui Link Berikut ********  (Rumah Selesai Bangun Di Bulan Juni-Juli 2026) Luas T...",3100000000.0,5.0,4.0,180.0,260.0,2026-04-13,Blimbing
"Araya, Malang","Rumah Nyaman 2 lantai, bangunan bagus, terawat, 4 Kamar tidur, 3 Kamar mandi, garasi, SHM, siap huni. Lokasi di Perumahan Elit Araya Malang. Dekat ...",1900000000.0,4.0,3.0,145.0,145.0,2026-04-13,Blimbing
"Araya, Malang","(DN2679) Untuk Katalog Properti Lengkap, Bisa Diakses Langsung Melalui Link Berikut ********  - ⁠Posisi Hook Dan Berada Di Jalan Kembar Dengan RO...",5500000000.0,4.0,4.0,315.0,350.0,2026-04-13,Blimbing
"Sukun, Malang","Dijual Rumah Siap Huni – Bukit Cemara Tidar, Malang Karang Besuki, Kec. Sukun, Kota Malang  Lokasi Strategis: Dekat kampus UB, UM, Unmer, ITN, UM...",750000000.0,3.0,1.0,130.0,100.0,2026-04-13,Sukun
"Lowokwaru, Malang","(DN2687) Untuk Katalog Properti Lengkap, Bisa Diakses Langsung Melalui Link Berikut ********  Lokasi Hanya Selangkah Ke Suhat (Pusat Pendidikan, Bi...",3590000000.0,18.0,19.0,162.0,300.0,2026-04-13,Lowokwaru
"Lowokwaru, Malang",Spesifikasi: LT : 408 m2 LB : 280 m2 Bangunan 2 Lantai + basement Kamar Tidur 5 + 1 Kamar Mandi 3 Musholla  Ruang Kerja Pribadi Service area + Area...,4000000000.0,5.0,3.0,408.0,280.0,2026-04-13,Lowokwaru
"Araya, Malang","Rumah di Araya.  Cek segera rumah 2 lantai yang modern ini,  dijual dengan pemandangan asri yang menambah nilai estetika di lingkungan hunian. Ruma...",2600000000.0,6.0,3.0,162.0,256.0,2026-04-12,Blimbing
"Sawojajar, Malang",RUMAH BARU MODERN MINIMALIS PERUM CEMOROKANDANG KOTA MALANG   Lokasi : PERUMAHAN STRATEGIS  CEMOROKANDANG KOTA MALANG   KAWASAN HUNIAN PERUMAHAN YA...,445000000.0,2.0,1.0,60.0,36.0,2026-04-12,Blimbing
"Blimbing, Malang","Rumah Asri 1,5 lantai,Bangunan bagus,terawat,Siap huni,ada halaman belakang.Lokasi di Perumahan elit Riverside The Icon,Blimbing Malang.Dekat Sekol...",1500000000.0,3.0,1.0,144.0,90.0,2026-04-12,Blimbing
"Sukun, Malang",K49 *DIJUAL RUMAH SIAPHUNI FULL FURNISH DI SUKUN MALANG*   Spesifikasi:  LT 66 m2  LB 120 m2 KT 3 KM 2  SHM & IMB  Hadap Utara  Listrik 3500watt  P...,1350000000.0,3.0,2.0,66.0,120.0,2026-04-12,Sukun
"Sukun, Malang","DI JUAL RUMAH  KEL. : GADANG KEC. : SUKUN KAB  : MALANG  LT  165  M² KT +/-  3 KM +/- 2  Surat :  SHM  Row Mobil     Harga : 1,4 M  NOTE :  PROSES...",1400000000.0,3.0,2.0,165.0,165.0,2026-04-12,Sukun
"Sukun, Malang",DI JUAL RUMAH  KEL. : GADANG KEC. : SUKUN KAB  : MALANG  LT  119  M² KT +/-  3 KM +/- 2  Surat :  SHM  Row Mobil     Harga : 820 jt  NOTE :  PROSE...,820000000.0,3.0,2.0,119.0,119.0,2026-04-12,Sukun
"Klojen, Malang",*Dijual Rumah Siap Huni Dekat Malang City Point dan Cybermall dan dekat Jalan Raya Langsep Klojen Kota Malang*,6500000000.0,8.0,6.0,286.0,500.0,2026-04-12,Klojen
"Lowokwaru, Malang",RUMAH jual dijual  Sigura-gura  Dijual secepatnya rumah 1.5 Lantai bagus harga sangat terjangkau  MALANG LOWOKWARU,2700000000.0,4.0,3.0,180.0,200.0,2026-04-12,Lowokwaru
"Blimbing, Malang",RUMAH BARU MODERN MINIMALIS PERUM CEMOROKANDANG KOTA MALANG   Lokasi : PERUMAHAN STRATEGIS  CEMOROKANDANG KOTA MALANG   KAWASAN HUNIAN PERUMAHAN YA...,445000000.0,2.0,1.0,60.0,36.0,2026-04-12,Blimbing
"Araya, Malang","Rumah di Araya.  Temukan rumah 2 lantai yang modern ini,  dijual dengan pemandangan indah yang menambah nilai estetika di lingkungan hunian. Rumah ...",1040000000.0,4.0,2.0,91.0,55.0,2026-04-12,Blimbing
"Blimbing, Malang",RUMAH jual dijual  Perumahan Pondok Blimbing indah  Dijual. cepat rumah baru 2 lantai cantik & bagus modern harga sangat terjangkau  MALANG BLIMBIN...,1900000000.0,4.0,3.0,144.0,160.0,2026-04-12,Blimbing
"Kedungkandang, Malang","Rumah di Kedungkandang.  Temukan rumah 1 lantai yang asri ini,  dijual dengan pemandangan asri yang menambah nilai estetika di lingkungan hunian. R...",650000000.0,2.0,1.0,110.0,90.0,2026-04-12,Kedungkandang
"Araya, Malang",DIJUAL RUMAH CANTIK BARU MINIMALIS MODERN SIAP HUNI DAERAH ARAYA VALLEY MALANG ARAYA VALLEY - Malang LT 200 LB 400 KT 5+1 KM 5+1 Listrik 2200 Rp 3....,3800000000.0,5.0,5.0,200.0,400.0,2026-04-12,Blimbing
