lokasi,judul,harga_bersih,kamar_tidur,kamar_mandi,luas_tanah_m2,luas_bangunan,tanggal_clean,kecamatan
"Dieng, Malang","Dijual rumah full furnish, kondisi perabotan masih bagus. Lokasi di Mulyorejo, Kota Malang. Hanya 8 menit ke Cybermall Dieng, dan Universitas Merde...",375000000.0,2.0,1.0,72.0,72.0,2026-04-13,Sukun
"Sukun, Malang","Rumah Klasik dekat Alun-Alun Kota Malang, Pasar Besar, RST. Spesifikasi : LT 223 m2 LB 250 m2 2 lantai KT : 4 KM : 4 Garasi 2 mobil Carport 1 mobil...",2100000000.0,4.0,4.0,223.0,250.0,2026-04-13,Sukun
"Dieng, Malang","Dijual Rumah Ready di Malang Kota. 8 menit ke Malang City Point, Cybermall Dieng 10 menit ke MOG, Universitas Brawijaya. Perumahan Nol Jalan Raya d...",670000000.0,3.0,1.0,95.0,110.0,2026-04-13,Sukun
"Klojen, Malang","Kesempatan terbatas buat Anda dapatkan rumah nyaman dengan return investasi tinggi di Klojen, Malang.  Rumah ini menawarkan lokasi yang strategis s...",4000000000.0,22.0,11.0,296.0,500.0,2026-04-13,Klojen
"Araya, Malang","DIJUAL RUMAH BARU MODERN MINIMALIS  LOKASI BERADA DI KAWASAN ELIT PERUM ARAYA GOLF , MALANG  (On Progres - Terima Jadi Siap Huni)   Harga : 3.1 Mil...",3100000000.0,5.0,5.0,200.0,256.0,2026-04-13,Blimbing
"Klojen, Malang","Rumah bergaya minimalist modern di Klojen.  Miliki rumah 2 lantai yang modern ini,  dijual dengan pemandangan asri yang menambah nilai estetika di ...",800000000.0,2.0,2.0,69.0,78.0,2026-04-13,Klojen
"Lowokwaru, Malang","Rumah Murah Luas 159 m2 Area Ikan Piranha Suhat  Lokasi dekat dengan jalan soekarno hatta, pusat perbelanjaan, rumah sakit, pom bensin dan beberapa...",990000000.0,4.0,2.0,159.0,110.0,2026-04-13,Lowokwaru
"Sukun, Malang",RUMAH jual dijual Perumahan pondok Mutiara Asri  Dijual cepat rumah 2 lantai cantik dan modern harga sangat terjangkau  MALANG SUKUN,630000000.0,3.0,2.0,60.0,75.0,2026-04-12,Sukun
"Blimbing, Malang",Rumah Mewah Furnished Posisi Hooq Kawasan Elite Perumahan Araya Malang.  Kawasan elite di kota Malang mudah diakses dan jalanan yang lebar. Fasilit...,7250000000.0,7.0,7.0,540.0,600.0,2026-04-12,Blimbing
"Sawojajar, Malang",DIJUAL RUMAH 2 LANTAI SIAP HUNI - SAWOJAJAR 1 MALANG   Lokasi strategis: Jl. Danau Maninjau Sawojajar 1 - Kota Malang  Harga: Rp 850 Juta (NEGO TIP...,850000000.0,5.0,2.0,84.0,168.0,2026-04-12,Blimbing
"Blimbing, Malang",Murah Rumah Mewah Lokasi Perumahan Elit Araya Dekat Lapangan Golf.  Kawasan elite di kota Malang mudah diakses dan jalanan yang lebar. Fasilitas sa...,4400000000.0,4.0,4.0,240.0,330.0,2026-04-12,Blimbing
"Sawojajar, Malang","Dijual rumah desain modern classic elegan di kawasan favorit SawojaJAR, Malang. Cocok untuk hunian keluarga dengan tampilan mewah dan akses sangat ...",925000000.0,3.0,2.0,102.0,150.0,2026-04-12,Blimbing
"Sawojajar, Malang","Dijual Rumah di Jalan Danau-Danau Sawojajar 1 Kedungkandang - Kota Malang Dekat Sawojajar, Tol Madyopuro & jalan utama  Spesifikasi:  - Legalitas: ...",625000000.0,3.0,2.0,60.0,65.0,2026-04-12,Blimbing
"Lowokwaru, Malang","Dijual rumah di area Perumahan Elit Green Orchid. Lokasi sangat bagus berada di area Soekarno Hatta. Dekat banyak kampus ternama seperti Brawijaya,...",2500000000.0,5.0,3.0,120.0,107.0,2026-04-12,Lowokwaru
"Sawojajar, Malang","Rumah bergaya minimalist modern di Sawojajar.  Miliki rumah 1 lantai yang asri ini,  dijual dengan pemandangan indah yang menambah nilai estetika d...",1050000000.0,3.0,3.0,135.0,200.0,2026-04-12,Blimbing
"Sawojajar, Malang","Rumah 2 lantai di kawasan elit Grand Permata Jingga - Sawojajar Lingkungan eksklusif One Gate System, aman, nyaman, dan prestisius. Bukan rumah lam...",1620000000.0,3.0,3.0,130.0,88.0,2026-04-12,Blimbing
"Lowokwaru, Malang","Kesempatan terbatas buat Anda dapatkan rumah nyaman dengan return investasi tinggi di Lowokwaru, Malang.  Rumah ini menawarkan lokasi yang strategi...",1300000000.0,5.0,3.0,138.0,170.0,2026-04-12,Lowokwaru
"Lowokwaru, Malang","Dijual Rumah Siap Huni dekat Suhat di Lowokwaru, Malang Kota  ✅ Lokasi Sangat Strategis Dekat Suhat, UB, Unisma, UMM, Matos, UIN, UM ✅ Perumaha...",950000000.0,2.0,1.0,105.0,105.0,2026-04-12,Lowokwaru
"Lowokwaru, Malang","Kesempatan terbatas buat Anda dapatkan rumah nyaman dengan return investasi tinggi di Lowokwaru, Malang.  Rumah ini menawarkan kelengkapan fasilita...",1500000000.0,2.0,3.0,96.0,125.0,2026-04-12,Lowokwaru
"Lowokwaru, Malang","Kesempatan terbatas buat Anda dapatkan rumah nyaman dengan return investasi tinggi di Lowokwaru, Malang.  Rumah ini menawarkan lokasi yang strategi...",1970000000.0,4.0,5.0,180.0,300.0,2026-04-12,Lowokwaru
